infected_unvaccinated,infected_vaccinated,total_vaccinated
0,0,0
0,0,0
0,0,0
0,0,0
0,0,6
0,0,6
0,0,6
0,0,6
0,0,6
0,0,6
0,0,6
0,0,6
0,0,6
0,0,6
0,0,6
0,0,6
0,0,6
0,0,6
0,0,6
0,0,6
0,0,6
0,0,6
0,0,6
0,0,6
0,0,6
0,0,6
0,0,6
0,0,6
0,0,6
0,0,6
0,0,6
0,0,6
0,0,6
0,0,6
0,0,13
0,0,13
0,0,13
0,0,13
0,0,13
0,0,13
0,0,13
0,0,13
0,0,13
0,0,13
0,0,13
0,0,13
0,0,13
0,0,13
0,0,13
0,0,13
0,0,13
0,0,13
5,0,13
7,0,13
7,0,13
5,0,13
5,0,13
5,0,13
5,0,13
5,0,13
5,0,13
15,0,13
14,0,13
14,0,13
12,0,13
12,0,13
10,0,13
10,0,57174
10,0,57174
10,0,57174
10,0,57174
15,1,57174
14,1,57174
14,1,57174
12,1,57174
12,1,57174
9,0,57174
9,0,57174
8,0,57174
8,0,57174
8,0,57174
8,0,57174
6,0,57174
6,0,57174
5,0,57174
5,0,57174
5,0,57174
5,0,57174
5,0,57174
6,0,57174
15,0,57174
14,0,57174
13,0,57174
12,0,57174
11,0,57174
34,0,57174
99,0,57174
91,0,57174
79,0,57174
72,0,57174
68,0,57174
90,0,57174
86,0,57174
69,0,57174
58,0,57174
55,0,57174
49,0,57174
46,0,57174
43,0,57174
39,0,57174
36,0,57174
34,0,57174
33,0,57174
33,0,57174
28,0,57174
28,0,57174
40,0,57174
38,0,57174
34,0,57174
31,0,57174
32,0,57174
32,0,58391
29,0,58391
27,0,58391
25,0,58391
25,0,58391
25,0,58391
25,0,58391
23,0,58391
23,0,58391
23,0,58391
21,0,58391
21,0,58391
21,0,58391
21,0,58391
18,0,58391
18,0,58391
17,0,58391
15,0,58391
13,0,58391
13,0,58391
13,0,58391
10,0,58391
14,0,58391
15,0,58391
14,0,58391
14,0,58391
14,0,58391
14,0,58391
14,0,58391
14,0,58391
13,0,58391
13,0,58391
12,0,58391
12,0,58410
12,0,58410
10,0,58410
10,0,58410
10,0,58410
10,0,58417
10,0,58417
10,0,58417
10,0,58417
10,0,58417
48,0,58417
44,0,58417
237,1,58417
201,1,58417
191,1,58417
161,1,58417
148,1,58417
141,1,58417
135,1,58417
131,1,58417
120,1,58417
134,0,58417
130,0,58417
117,0,58417
107,0,58417
106,0,58417
98,0,58417
87,0,58417
81,0,58417
73,0,58417
73,0,58417
72,0,58417
64,0,58417
62,0,58417
55,0,59067
47,0,59067
42,0,59123
41,0,59123
37,0,59123
35,0,59123
33,0,59123
32,0,59123
30,0,59123
28,0,59123
24,0,59123
20,0,59123
18,0,59123
17,0,59123
16,0,59123
13,0,59123
12,0,59123
12,0,59123
12,0,59123
12,0,59123
9,0,59123
8,0,59123
8,0,59123
8,0,59123
8,0,59123
7,0,59123
7,0,59123
6,0,59123
6,0,59123
8,0,59123
8,0,59123
9,0,59123
9,0,59123
8,0,59123
8,0,59123
6,0,59123
6,0,59123
6,0,59123
6,0,59123
6,0,59123
6,0,64090
20,0,64090
16,0,64090
15,0,64090
12,0,64090
12,0,64125
12,0,65051
9,0,65051
8,0,65051
8,0,65051
7,0,65051
25,0,65051
23,0,65051
22,0,65051
55,0,65051
50,0,65051
45,0,65051
41,0,65051
42,0,65051
40,0,65051
37,0,65051
35,0,65051
32,0,65051
30,0,65051
29,0,65051
34,0,65051
135,0,65051
149,0,65051
147,0,65051
139,0,65051
139,0,65051
128,0,65051
122,0,65051
132,1,65051
122,1,65051
113,1,65051
102,0,65051
99,0,65051
92,0,65051
83,0,65051
187,1,65051
202,2,65051
186,2,65051
159,2,65051
148,1,65054
149,0,65054
146,0,65054
121,0,65054
118,0,65059
116,0,65059
125,0,65059
106,0,65059
95,0,65059
93,0,65059
78,0,65059
76,0,65059
76,0,65059
71,0,65059
56,0,65059
60,0,65059
58,0,65059
58,0,65059
49,0,65059
49,0,65059
42,0,65059
59,0,65059
55,0,65059
47,0,65059
45,0,65059
50,1,65059
42,1,65059
34,1,65059
44,2,65059
